brand,x,y
Sea_Foam_Products_(Official),-34.322372,31.829258
Holley_Performance_Products,13.308591,-2.2741587
Zwift_(Verified_Page),-17.075642,-6.3264694
HomeAway_(Verified_Page),-2.4598129,-3.8081858
Federal_Premium,-19.571901,-21.996311
Original_Skateboards_(Verified_Page),9.737718,-33.58731
Toyo_Tires,-27.920582,31.066248
Atlassian,-21.537285,19.179998
TenPoint_Crossbow_Technologies,29.378937,-15.387576
Rotita_(Verified_Page),-4.724627,0.574617
Mint_(Verified_Page),21.607355,1.4790901
Rocky_Mountaineer,26.147247,7.052874
MuscleMeds_Carnivor,-8.286243,-24.201513
Annmarie_Skin_Care,-1.9280827,-15.374095
LATAM_Airlines_(Verified_Page),33.35891,9.665478
Sigma_Beauty,-23.002775,37.128937
Optimum_Nutrition_(Verified_Page),-9.082024,-20.412985
Groupon_(Verified_Page),-16.076069,24.651579
ScentBlocker,-7.6142592,-38.295197
Kershaw_Knives-KAI_USA_Ltd.,-0.6339646,-33.721394
Motions_Hair_(Verified_Page),-5.6971946,2.8470192
Adventures_by_Disney_(Verified_Page),26.320599,5.2484694
REI_(Verified_Page),18.18279,-30.38344
gDiapers,-1.0244503,-7.8601747
Modlily_(Verified_Page),-17.716091,32.50683
RideTech,11.982344,-2.2683687
DIRECTV_(Verified_Page),27.327812,2.1479623
Harrah's_Resort_Southern_California_(Verified_Page),17.144676,31.094315
Maxpedition,-30.170475,22.853283
Benelli,28.085676,-14.305409
Cotopaxi_(Verified_Page),0.004793723,0.5769464
Gearbox_Software_Official,18.165377,-10.177159
Disney_Cruise_Line_(Verified_Page),27.670076,7.6440125
Peet's_Coffee_(Verified_Page),7.941431,-10.15929
TurboTax_(Verified_Page),-21.150183,27.881353
Bowflex_(Verified_Page),-24.690506,31.067558
Yamaha_Outdoors,-18.460346,22.03265
Dove_(Verified_Page),-15.996906,27.897285
HubSpot_(Verified_Page),-20.00973,-7.1629057
Icon_(Verified_Page),-30.135645,27.627775
CitySightseeing_New_York,12.875173,-12.5143385
Square_(Verified_Page),-9.719932,23.383207
Physicians_Formula,2.688689,-10.646879
NOS_Energy_Drink_(Verified_Page),-21.782951,36.86
Celebration_Suites,-22.416578,28.587702
Alaska_Airlines_(Verified_Page),29.897343,6.717999
Black_Rifle_Coffee_Company,-7.4893026,-5.3851438
doTERRA_Essential_Oils,8.414445,10.938007
Sundown_Naturals_(Verified_Page),5.507503,-14.994244
Mossy_Oak_(Verified_Page),23.11417,-34.570778
Orgain,-1.9757812,-12.139574
Pflueger_Fishing_(Verified_Page),-10.789192,-31.581413
Remington_Arms_Company,19.992313,-36.498352
Paula's_Choice,-26.134052,17.56403
Tippmann_Sports,18.648058,-18.45796
ProCharger,-22.982094,22.68763
Jeulia_Jewelry_(Verified_Page),11.527618,-8.60365
Wendy's_(Verified_Page),6.7169976,18.187449
STANLEY,3.7111416,-7.468417
Old_Orchard_Brands,5.721294,-13.262067
Sitka_Gear,29.329199,-13.606481
Mercedes-Benz_Golf_(Verified_Page),-16.34644,20.827288
Clinique_(Verified_Page),-20.02458,27.365961
DenTek_Oral_Care,5.1993747,-16.04399
Lush_Cosmetics_North_America_(Verified_Page),9.036803,12.379156
First_Aid_Beauty,1.4980745,-18.23592
Hyatt_(Verified_Page),26.925478,4.1047354
Valvoline_USA,11.810686,0.34808797
Spitfire_Wheels,8.161898,-34.371246
Creme_of_Nature,3.5174778,-4.5204024
Pebble_Beach_Resorts,15.087203,29.679745
Fox_Racing_(Verified_Page),12.707393,-33.151966
Pravana,-7.987389,-2.740521
Shock_Doctor,-28.101915,35.140526
Body_Glove,-31.997189,36.436665
Champion_Performance,-9.73932,-22.872585
BuckedUp_Apparel,25.022875,-2.199466
Activision_(Verified_Page),18.20029,-10.178086
Barnes_&_Noble_(Verified_Page),-16.978525,27.155014
Springfield_Armory,19.132084,-36.486046
Babyganics,-21.232426,36.697853
CamelBak_(Verified_Page),17.088144,-29.848562
InterContinental_Miami,15.936873,33.35728
FreedomPop,-25.471586,26.708813
JJFU_(Verified_Page),-2.4739451,-34.16996
Virgin_America_(Verified_Page),33.823227,10.54467
Zevia,4.555209,-10.124364
MetroPCS_(Verified_Page),-20.190912,-6.5045724
adidas_Golf_(Verified_Page),-23.897905,-10.322996
Vdara_Hotel_&_Spa_Las_Vegas_(Verified_Page),18.223969,32.236748
Nikon_(Verified_Page),-16.923769,-8.334153
RCI_(Verified_Page),23.923288,6.670499
BPI_Sports,-21.00712,39.835487
Grand_Hotel,16.844002,28.773443
EOTech,-28.247328,37.299118
Josie_Maran_Cosmetics,0.4513194,-15.224389
Flextone_Game_Calls,-22.015633,-21.148981
Pride_of_Maui,29.560415,5.661157
O'Reilly_Auto_Parts_(Verified_Page),2.5248582,8.210311
Lethal_Performance_Inc,-22.255411,22.49772
Hyatt_Regency_(Verified_Page),18.737856,32.521835
United_(Verified_Page),31.06055,8.342962
Fireside_Chalets_and_Cabin_Rentals,-23.60922,-14.049945
Crazy_8_(Verified_Page),8.547691,4.136148
Digicel_(Verified_Page),2.7060528,10.226642
Hyatt_Place_(Verified_Page),18.963232,32.87416
Mrs._Dash_(Verified_Page),-24.756624,28.653875
Prince_Tennis,-26.113867,36.926884
Tijuana_Sweet_Heat_Tequila,27.275208,-1.9657849
SheaMoisture_Baby,-20.360048,36.922905
Shredz_Women_(Verified_Page),-18.536566,23.694931
Adobe_After_Effects,17.17992,-14.0357685
HotelTonight_(Verified_Page),-23.036167,-10.619709
The_Coffee_Bean_&_Tea_Leaf_(Verified_Page),-21.67288,37.624992
Shared:_Vintage_(Verified_Page),13.245795,-16.62855
PSE_Archery,23.830036,-36.046143
Healthgrades,4.062308,-21.574537
Staybridge_Suites,17.533094,33.066494
Garage_Valvoline,-27.077036,30.515882
Delta_(Verified_Page),30.50523,8.467752
Silk'n_(Verified_Page),2.5714972,-12.055445
Ulta_Beauty_(Verified_Page),7.4083543,12.646767
Younique_-_Corporate,-10.217019,0.013638111
APR,-21.302868,21.79289
Drury_Hotels_(Verified_Page),9.640952,4.754301
Chipotle_Mexican_Grill_(Verified_Page),7.55919,15.714204
e.l.f._Cosmetics_(Verified_Page),-18.305012,24.855124
TRX_Training,7.686887,-24.531324
Visiting_Myrtle_Beach,-24.197012,-13.155863
Savage_Gear,-11.153487,-32.626213
GT's_Kombucha,-2.1210237,-9.615292
Quark_Expeditions,27.464355,6.1088057
Roadtrippers,31.679312,2.4834893
Ouidad,2.9302037,-16.850271
Blackstone_Labs,-9.649605,-21.445429
AT&T_U-verse_(Verified_Page),-10.254277,24.103125
Quantum_Fishing,-11.585619,-33.20286
Amazon.com/Fashion_(Verified_Page),-21.171902,38.402203
Orca_Coolers,3.4861732,-6.398058
JCPenney_(Verified_Page),-16.88321,28.521467
Speedo_USA_(Verified_Page),-16.228008,16.323856
La_Roche-Posay_(Verified_Page),3.1487284,-18.290493
Tetley_Tea,6.04528,-14.054599
Mauna_Lani_Bay_Hotel_and_Bungalows,15.455364,30.566502
Precision_Turbo_&_Engine,11.055488,-3.164347
Suzuki,24.63994,-8.935759
Adobe_Dreamweaver_(Verified_Page),-17.625566,18.105993
GameChanger,-13.922044,-8.7390785
RUSK,2.68116,-15.737885
Maserati_USA_(Verified_Page),-26.475195,33.286324
Carnival_Cruise_Line_(Verified_Page),22.646467,4.5063705
Wilson_Basketball_(Verified_Page),21.883228,-2.4019132
Eastbay_(Verified_Page),-20.763788,34.63708
Fenwick_Fishing_(Verified_Page),32.46259,-16.482777
tarte_cosmetics_(Verified_Page),10.433052,12.032182
Spotify_(Verified_Page),-8.767153,-3.3493176
Dr._Brown's_Baby,0.9249522,-8.525822
Volvo_Trucks_North_America,15.205443,-5.7853556
Cox_Communications_(Verified_Page),24.584538,1.4570397
Melitta_USA,5.7415385,-14.385786
BERETTA,19.838974,-37.19728
Zappos.com_(Verified_Page),8.655553,-15.527435
HICKIES_(Verified_Page),-13.529882,17.965515
Weatherby_Inc.,28.532671,-13.772341
Puritan's_Pride_(Verified_Page),4.5293627,-10.21145
Bath_&_Body_Works,9.313383,11.874857
Isopure_(Verified_Page),-11.023059,-21.820808
Office_Depot_(Verified_Page),3.6818314,14.448337
The_Republic_of_Tea_(Verified_Page),9.600052,-10.719487
EDEN_BodyWorks,2.3363757,-16.26877
Julie's_Freebies,0.23152979,-6.093852
Community_Coffee,5.0584497,-12.664631
QVC_(Verified_Page),5.6012278,-6.8211746
Interval_International,23.44684,6.769515
Dene_Adams_Official,18.556894,-35.297318
Butler_Tires_and_Wheels_(Verified_Page),-23.206264,24.362978
SheaMoisture,-13.753689,25.261248
PCH_Publishers_Clearing_House_(Verified_Page),-0.7561879,-4.6079035
Klutch_Wheels,10.452019,-1.3709674
ProSupps,-9.142278,-22.172802
Bodeaz,8.221224,-24.79862
Hyatt_Regency_Coconut_Point_Resort_&_Spa,-26.29106,35.64271
Nutrilite_US_(Verified_Page),10.456287,-20.360079
Atibal,-4.050645,-35.191227
Golden_Corral,-17.94062,26.48669
FIAT_USA_(Verified_Page),15.963064,-5.888212
Beaches_Resorts_(Verified_Page),-23.207336,-12.961883
Coach_(Verified_Page),-16.574903,26.085348
ATN,-22.355282,-17.611376
Madison_Reed_(Verified_Page),-19.004124,40.45695
Primos_Hunting,24.34529,-35.405132
iTunes_(Verified_Page),-21.054708,37.652027
Outdoor_Research,32.97825,0.80909145
Morphe_Brushes,-10.405913,-4.901897
Outer_Banks_-_Brindley_Beach,-29.896362,41.746246
XSNation,9.908641,-19.979109
WEN_(Verified_Page),-19.07195,41.130547
Brad's_Deals_(Verified_Page),-4.5936,-6.061908
Nomad_Outdoor,-7.539617,-36.24456
Georgia_Boot,-7.170268,-34.29094
Royal_Caribbean_International_(Verified_Page),-29.132053,44.39869
Verizon_(Verified_Page),25.99547,1.8963903
Busy_Mom_Gets_Fit,8.35471,-24.504402
Beast_Sports_Nutrition,-7.932312,-20.777538
Palm_Springs_Oasis,25.462484,4.271118
lucy_Activewear_(Verified_Page),-18.52722,13.673834
Sugarpill_Cosmetics,-22.823433,37.756012
Miami_Beach_Resort_and_Spa,-22.636341,28.852064
StrongFirst,-6.508192,-0.70115197
Starter,-27.778645,34.18237
Numi_Organic_Tea,8.415914,-7.8227825
IBM_Cloud,-22.983757,-3.4179094
Hulu_(Verified_Page),-9.909125,-3.058768
Milani,2.1095722,-10.3580265
Overstock_(Verified_Page),3.3940399,11.585787
Beautycounter,-14.815892,12.662354
Smartwool,2.6933572,-6.620613
Salesforce_Developers,6.158556,-4.215998
Taurus_USA,27.104761,-13.980488
Gaylord_Texan_Hotel,16.415686,28.110365
NastyDress_(Verified_Page),-7.8027735,-2.727342
Tesla_(Verified_Page),21.578947,-7.4474196
Airfarewatchdog_(Verified_Page),34.347725,5.990674
Mastercard_(Verified_Page),-21.20848,24.884071
SUP_ATX,-32.680817,36.163857
Okuma_Fishing_USA,32.361538,-14.922437
VITCHELO_Products,-23.032175,-16.103848
Trax_NYC_Custom_Jewelry,11.527759,-8.6038685
adidas_Soccer_(Verified_Page),16.549866,-23.145695
MINI_(Verified_Page),-13.782255,20.96393
MathWorks,-21.714289,19.154947
Classic_Rope,-8.915736,-36.987705
FMF_Racing_(Verified_Page),-29.151716,33.06447
Rosewood_Hotels_&_Resorts,17.088877,31.927011
Empire_Paintball,18.646734,-18.474913
Huffy_Bicycles,-5.0195956,12.694075
The_Signature_at_MGM_Grand,18.44412,31.974964
Pepsi_(Verified_Page),7.3050127,19.306263
